URL,Title,Partner,Provider,Subject,Tags,Overview,Syllabus,Cost,Session,Language,Start Date,Effort,Duration,Instructors
https://www.classcentral.com/course/coursera-agile-with-atlassian-jira-11877,Agile with Atlassian Jira,Atlassian,Coursera,Software Development,"""agile""","Agile teams use “just enough” planning and an incremental approach to accomplishing the work of the team. Every project and every team uses a custom agile methodology. This course discusses common foundational principles and practices used by agile methodologies, providing the student a flexible set of tools to use in any role (e.g. product owner, scrum master, project manager, team member) on any agile team. This course mainly discusses agile and lean principles, the kanban and scrum agile methodologies, and uses Atlassian Jira Software Cloud as the main software tool to apply hands-on learning of the topics. The course includes instruction on ""classic"" Jira projects as well as the new ""next-gen"" Jira projects.Students are provided with a free Atlassian Jira Software Cloud account in order to complete the hands-on labs associated with this course. By the time you have completed this course, you will have a strong foundational understanding of agile principles and practices, and strong hands-on experience with Atlassian Jira Software Cloud. You will be the site administrator for your Jira account, so you will be able to perform basic administration tasks on your site. You should be able to continuously configure your Jira project(s) to match your team's custom agile methodology.You can watch the videos and take the quizzes from your phone if you want, but the hands-on labs using Atlassian Jira Software Cloud require you to have a Windows, Mac or Linux computer.This course tries to be as concise as possible. It will probably take you about 6-12 hours to go through, but your mileage may vary. It is highly encouraged that you apply what you learn to managing personal agile projects after the course is complete.","WEEK 1AGILE OVERVIEW IThis module provides an overview of the agile mindset. It introduces Atlassian Jira as a tool used to implement agile principles for team project work. Students will be provided a free Jira Software Cloud license in order to go through the hands-on exercises in this course. We cover the importance of visualizing work, and provide an overview of the kanban agile method. Students will create a custom kanban board.WEEK 2Agile Overview IIThis module start with an overview of scrum, including scrum concepts such as increments, sprints, sprint goals, backlogs, estimation, velocity, common scrum reports, roles and events. You will then execute a sprint using Jira. The rest of the module focuses more on the ""why"" of agile, and provided a foundational understanding of lean and agile principles. The Toyota Production System is discussed, as this could be considered as the foundation of lean thinking. The Agile Manifesto is also discussed in quite some detail.WEEK 3Configure Jira IThis module focuses on configuring Jira to match your agile process. This is a more hands-on module than the previous module. Every team has a unique, continuously evolving agile process. Their tools need to be able to adapt to these changes. We will start by discussing searching, then discuss Jira Query Language (JQL). A solid understanding of JQL helps with the rest of the course and in your continuing use of Jira after the course. We will discuss creating filter, custom issue types and configuring issues to show the information that your team cares about.WEEK 4Configure Jira IIIn this module, we continue configuring Jira in order to be able to match the tool to our team's custom agile process. We will discuss and create epics, which are large issues that may contain other issues. We will discuss and create versions, which are a set of issues that usually make up a product update. We discuss users and permissions. Since you are the administrator of the free Jira Software Cloud that you use for this course, you should know how to invite users to your site and configure permissions so that the right access is granted to users. We end the course with a final project. You will be asked to configure Jira to keep up with your team's continuous changes",Free Online Course (Audit),Upcoming,English,"25th Mar, 2019",2-4 hours a week,4 weeks long,"[""Steve Byrnes""]"
https://www.classcentral.com/course/coursera-advanced-algorithms-and-complexity-5474,Advanced Algorithms and Complexity,"University of California, San Diego",Coursera,Algorithms and Data Structures,"""algorithm design, algorithm analysis""","You've learned the basic algorithms now and are ready to step into the area of more complex problems and algorithms to solve them. Advanced algorithms build upon basic ones and use new ideas. We will start with networks flows which are used in more typical applications such as optimal matchings, finding disjoint paths and flight scheduling as well as more surprising ones like image segmentation in computer vision. We then proceed to linear programming with applications in optimizing budget allocation, portfolio optimization, finding the cheapest diet satisfying all requirements and many others. Next we discuss inherently hard problems for which no exact good solutions are known (and not likely to be found) and how to solve them in practice. We finish with a soft introduction to streaming algorithms that are heavily used in Big Data processing. Such algorithms are usually designed to be able to process huge datasets without being able even to store a dataset.","Flows in NetworksNetwork flows show up in many real world situations in which a good needs to be transported across a network with limited capacity. You can see it when shipping goods across highways and routing packets across the internet. In this unit, we will discuss the mathematical underpinnings of network flows and some important flow algorithms. We will also give some surprising examples on seemingly unrelated problems that can be solved with our knowledge of network flows.Linear ProgrammingLinear programming is a very powerful algorithmic tool. Essentially, a linear programming problem asks you to optimize a linear function of real variables constrained by some system of linear inequalities. This is an extremely versatile framework that immediately generalizes flow problems, but can also be used to discuss a wide variety of other problems from optimizing production procedures to finding the cheapest way to attain a healthy diet. Surprisingly, this very general framework admits efficient algorithms. In this unit, we will discuss some of the importance of linear programming problems along with some of the tools used to solve them.NP-complete ProblemsAlthough many of the algorithms you've learned so far are applied in practice a lot, it turns out that the world is dominated by real-world problems without a known provably efficient algorithm. Many of these problems can be reduced to one of the classical problems called NP-complete problems which either cannot be solved by a polynomial algorithm or solving any one of them would win you a million dollars (see Millenium Prize Problems) and eternal worldwide fame for solving the main problem of computer science called P vs NP. It's good to know this before trying to solve a problem before the tomorrow's deadline :) Although these problems are very unlikely to be solvable efficiently in the nearest future, people always come up with various workarounds. In this module you will study the classical NP-complete problems and the reductions between them. You will also practice solving large instances of some of these problems despite their hardness using very efficient specialized software based on tons of research in the area of NP-complete problems.Coping with NP-completenessAfter the previous module you might be sad: you've just went through 5 courses in Algorithms only to learn that they are not suitable for most real-world problems. However, don't give up yet! People are creative, and they need to solve these problems anyway, so in practice there are often ways to cope with an NP-complete problem at hand. We first show that some special cases on NP-complete problems can, in fact, be solved in polynomial time. We then consider exact algorithms that find a solution much faster than the brute force algorithm. We conclude with approximation algorithms that work in polynomial time and find a solution that is close to being optimal. Streaming Algorithms (Optional)In most previous lectures we were interested in designing algorithms with fast (e.g. small polynomial) runtime, and assumed that the algorithm has random access to its input, which is loaded into memory. In many modern applications in big data analysis, however, the input is so large that it cannot be stored in memory. Instead,  the input is presented as a stream of updates, which the algorithm scans while maintaining a small summary of the stream seen so far. This is precisely the setting of the streaming model of computation, which we study in this lecture. The streaming model is well-suited for designing and reasoning about small space algorithms. It has received a lot of attention in the literature, and several powerful algorithmic primitives for computing basic stream statistics in this model have been designed, several of them impacting the practice of big data analysis. In this lecture we will see one such algorithm (CountSketch), a small space algorithm for finding the top k most frequent items in a data stream.",Free Online Course (Audit),In progress,English,"18th Mar, 2019",N/A,5 weeks long,"[""Alexander S. Kulikov"",""Michael Levin""]"
https://www.classcentral.com/course/udacity-google-analytics-for-android-3700,Google Analytics for Android,Google,Udacity,Android Development,"""analytics""","This course is deprecated. We recommend taking Firebase Analytics instead.Where in the world are people using your app? Which activities do they use most? How do they navigate through your app? Take this course to learn how to add code to your mobile app to send usage data to Google Analytics, and get answers to questions like these.This course also covers how to use Google Tag Manager to send updated information to your app without needing to redeploy the APK, and to manage all your Google Analytics tags.This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!Google Location Services on Android Google Analytics for Android [this course]App Monetization with Display Advertising Add Google Maps to your Android AppWhy Take This Course?If you want to be a professional Android developer, it's critical to understand who your users are, where they are, and how they're using your app. To do this, you need to know how to access and manage your app's analytics. Take this course to learn how to use Google Analytics in your apps, and how to use Tag Manager to send updated information to your app and manage your Google Analytics tags.","IntroductionOverview of Google Play services and an introduction to the goals and structure of this series.Lesson 1 - Getting Started with AnalyticsGet a Google Analytics account ID, and update your app to track all screen views. Lesson 2 - Beyond Auto Activity TrackingSend tracking data for events, and track how your users move through the shopping process.Lesson 3 - Intro to Tag ManagerUse Tag Manager to update values in your app without having to redeploy any code. Cool, huh?Lesson 4 - Integrating Google Analytics and Tag ManagerUse Tag Manager to organize the Analytics tags in your app.Capstone Project (2 Stages)This project assumes that you have completed Developing Android Apps,  Advanced Android App Development and  Google Play Services: Location and Context, in addition to this course.Design, then build, your own Android app.",Free Online Course,Self Paced,English,Self paced,N/A,2 weeks long,"[""Laurence Moroney"",""Jocelyn Becker""]"
https://www.classcentral.com/course/edx-developing-dynamic-web-applications-using-angular-6575,Developing Dynamic Web Applications Using Angular,Microsoft,edX,Web Development,"""angular""","If you’re a front-end developer using Angular, you’re already creating dynamic webpages for mobile and desktop web apps. Broaden your programming experience with a deeper dive into this open source framework.In this course for developers using Angular versions 2 and greater, you’ll work through a series of sequential modules that cover increasingly complex topics. See why tried-and-true Angular does just what you need it to do, as you create sophisticated, enterprise-grade web apps that render, HTML components based on the client.Get a history of Angular, and explore basic Angular concepts and Node Package Manager. Create components and HTML templates, and look at template syntax and binding.Learn about the lifecycle of an Angular component or directive, the dependency injection framework, and even how to design modular applications. Work with advanced TypeScript features, like declarations, modules, and namespaces, and see their usage within Angular.Finally, review the TypeScript compiler and learn how it is used with Visual Studio Code. Make the most of the videos, hands-on labs, and multiple-choice assessments, as you build on your Angular experience.",None,Free Online Course (Audit),Self Paced,English,Self paced,3-4 hours a week,4 weeks long,"[""Sidney Andrews""]"
https://www.classcentral.com/course/coursera-single-page-web-applications-with-angularjs-4283,Single Page Web Applications with AngularJS,Johns Hopkins University,Coursera,Web Development,"""angular""","Do you want to write powerful, maintainable, and testable front end applications faster and with less code? Then consider joining this course to gain skills in one of the most popular Single Page Application (SPA) frameworks today, AngularJS. Developed and backed by Google, AngularJS is a very marketable skill to acquire.In this course, we will explore the core design of AngularJS 1.x (latest version of AngularJS 1), its components and code organization techniques. We will enhance the functionality of our web app by utilizing dependency injection to reuse existing services as well as write our own. We will create reusable HTML components that take advantage of AngularJS data binding as well as extend HTML syntax with a very powerful feature of AngularJS called directives. We’ll set up routing so our SPA can have multiple views. We will also learn how to unit test our functionality. At the end of this course, you will build a fully functional, well organized and tested web application using AngularJS and deploy it to the cloud.","Introduction to AngularJSIn this module, we are going to start by going over how grading works for this course, will introduce some recommended books, as well as give you the information on how to find all of the source code that you will see throughout the course.We will then dive into the development environment setup for both Mac and Windows.The core of this module will be the introduction not only to the basics of AngularJS, but more importantly, the concepts that back AngularJS as a good solution for developing front-end web applications.To become a good software developer and not just with AngularJS, you will need to understand these concepts. But for becoming a good AngularJS developer, these concepts are essential, because they will allow you to understand the issues the framework is addressing and therefore get a good grasp on the solutions AngularJS is offering.Module 2 - Filters, Digest Cycle, Controller Inheritance, and Custom ServicesWe will start this module by learning how to use Angular filters to manipulate our data into the format we want and learn how to create our own custom filters. We will then dive deep into the digest cycle, which is the process AngularJS uses to magically update our web page with the bound data from our ViewModel or the controller. Understanding this process is crucial in getting comfortable with AngularJS. We'll also see some cases where we'll need to assist that process somewhat and understand why that is. After that, we'll learn one of the most fundamental concepts in the Javascript programming language, which is Prototypal Inheritance. Clear understanding of that topic is a must before we talk about inheritance between AngularJS controllers in our application. We'll finish off the module by learning how to create our own custom Angular services as well as how to configure them. With custom Angular services we'll be able to share data across different controllers or other components in our application. We will also learn a few useful Angular directives that allow us to place looping and conditional logic direction into our HTML. You'll see that by the end of this module, you'll have the skills to create a fairly sophisticated web application that starts to use some of the more advanced software architecture techniques.Week 3 - Promises, Ajax, and Custom DirectivesWelcome to module 3! In this module, we go over a lot of essential features of AngularJS. We will start with learning about the Promise API. While Promises are essential to Angular, this topic reaches far beyond Angular. It's really an essential topic to understanding modern web development with Javascript. We will also learn about making calls to the server through the built in Angular service called the HTTP service. We'll finish off the module by spending a considerable amount of time on THE crown feature of AngularJS: directives. Directives are really at the core of the entire framework. They not only allow us to extend the functionality of existing HTML elements, which is already pretty amazing in an of itself, but they also allow us to create our own element with custom view and custom behavior. Pretty exciting stuff! Module 4 - Components, Events, Modules, and RoutingIn this module, we start by introducing the idea of Component-based architecture. We will then delve into the AngularJS component API. The component API is something that was just recently added into Angular 1 and it's not only supposed to improve your application through the use of Component-based architecture, but also prepare you for an upgrade to Angular version 2, which uses components almost exclusively. We will then learn about the AngularJS event system and how to split up our application into smaller modules that can then be glued together to produce our final application. We'll finish off the module by diving fairly deep into Routing between views in your application and, specifically, into the use of the ui-router module, which is one of the most popular open source routing solutions within the AngularJS ecosystem. In fact, it's so popular that even the main Google documentation for routing in Angular links to ui-router. Routing is a very important topic. Without it, your Single Page Application is stuck displaying just 1 view, without an elegant way to display other views.Module 5 - Form Validation, Testing, and Restaurant Site DevelopmentWelcome to module 5! This is the last module in the course. We'll start this module by learning just how easy it is to validate forms with Angular. We will then delve into unit testing our AngularJS code. We will go over how to set up tests for every type of major Angular artifact: controller, service, directive, and component, as well as how to test services that access the network through the HTTP service. However, the last part of the module is the most fun. We will take the site that was developed for our real client in my previous course and re-write the entire thing using AngularJS. However, the coding fun doesn't have to stop there. After you finish the required part of the course, you can move on to the optional bonus part where we take our newly developed AngularJS application and enhance with it even more features that will allow the restaurant owners to administer their own data. We'll go over setting up authentication, editing restaurant menu items, uploading menu item pictures and so on.",Free Online Course (Audit),Upcoming,English,"25th Mar, 2019",N/A,5 weeks long,"[""Yaakov Chaikin""]"
https://www.classcentral.com/course/udacity-authentication-authorization-oauth-3523,Authentication & Authorization: OAuth,N/A,Udacity,Programming,"""authentication""","As a Python programmer, leveraging Flask allows you to quickly and easily build your own web applications. But before you share your apps on the Internet you should protect your users' data, ensuring information stored on your site is safe from unwanted manipulation. You could implement web security and permissions on your own, but relying on trusted providers is a faster, safer, and easier way to allow users to login to your application - without having to create and maintain another account, profile, and password. In this course, you will learn to implement the OAuth 2.0 framework to allow users to securely login to your web applications. You'll be provided a  restaurant menu application created in Flask. By the end of this course, you will write the necessary code to implement Google+ Sign-In and Facebook Login in options so users can create restaurant menus that are viewable by everyone but only modifiable by the original creator.Why Take This Course?OAuth 2.0 is a popular framework that allows users to login to your web application by using  third party sign ins, from providers they've already created and trust, with the click of a button. And because passwords and sensitive data are never sent, your web application does not have to deal with the complexities of secure password storage and security breaches. Your users can then control the level of access your application has to their data, and change or revoke this access at any point in time.","Lesson 1 - Authentication vs. AuthorizationLearn the difference between the concepts of authentication and authorization and address some major security concerns that developers must protect against when developing a web application.  You will learn how OAuth 2.0 makes implementing security easier for developers and users alike by allowing your users to sign in to your applications while keeping all of the security on well-known and trusted OAuth providers. Finally, you will see OAuth 2.0 in action as you make API requests using Google's OAuth 2.0 Playground.Lesson 2 - Creating a Google+ Sign-InLearn about the different types of security flows your application can implement. You will see how security can be handled by your server, your user's browser, or both depending on the type of security your application needs.  You will then add a Google+ Sign-In to an existing web application and implement a hybridized client/server flow.Lesson 3 - Local Permission SystemsAdd python code to create server-side rules that will constitute a permission system. This system will limit access of the database for each logged in user based on how the developer designs this code. You will add a User model model to your database to store the credentials, such as username, email, and profile picture, collected from the OAuth provider's API.Lesson 4 - Adding Facebook & Other ProvidersLearn to implement multiple OAuth providers on your web application. You will add Facebook Login as an alternative sign in option for your users and understand how to use OAuth provider documentation to add as many providers as you see fit for your application.",Free Online Course,Self Paced,English,Self paced,N/A,2 weeks long,"[""Lorenzo Brown""]"
https://www.classcentral.com/course/udacity-add-google-sign-in-to-your-android-apps-3703,Add Google Sign-In to your Android Apps,Google,Udacity,Android Development,"""authentication""","In this course, you'll learn how to use Google’s Identity Platform to allow users to sign-in using their Google credentials, and how to access data that they grant you permission to access. This course is part of the Google Play Services series, which features a  variety of different Google APIs. Designed as standalone short courses, you can take any course on its own, or take them all!Google Location Services on AndroidGoogle Analytics for AndroidApp Monetization with Display Advertising Add Google Maps to your Android App Add Google Sign-In to your Android Apps [this course]Why Take This Course?If you want to be a professional Android developer, your apps most likely will include features like Google sign-in. Take this course to implement this service in a sample app, and learn how to extend this service to your own apps.","IntroductionOverview of Google Play services and an introduction to the goals and structure of this series.Lesson  1 - Getting StartedBuild a basic Android App that signs your users in with Profile access. From this, you can get metadata about your users, such as their full name.Lesson 2 - Going DeeperLearn about the Google design styles for sign-in buttons, and how to get them to use in your own app. Customize your app with these styles, and learn about different scopes, including email scope, which only allows apps access to the signed-in user’s email address for identification.Capstone Project (2 Stages)This project assumes that you have completed Developing Android Apps,  Advanced Android App Development and  Google Play Services: Location and Context, in addition to this course.Design, then build, your own Android app.",Free Online Course,Self Paced,English,Self paced,N/A,2 weeks long,"[""Laurence Moroney"",""Jocelyn Becker""]"
https://www.classcentral.com/course/udacity-passwordless-login-solutions-for-ios-8474,Passwordless Login Solutions for iOS,Facebook,Udacity,iOS Development,"""authentication""","For an app developer, providing a seamless user experience is critical for building engagement and growing a user base. Passwordless login solutions provide your users with a simple, secure, and positive first experience.In this course, you'll learn two frameworks for sign-up and authentication: Account Kit, which uses a phone number and code, and Facebook Login for iOS. You’ll learn how to configure both types of authentication side by side in a sample app, test the flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API, a window into an incredible wealth of data for creating a more engaging experience for your users.Why Take This Course?Learn how to use tools from Facebook that enable developers to add features to an app that support increased personalization, enable frictionless account creation, and provide a seamless user experience.",N/A,Free Online Course,Self Paced,English,Self paced,N/A,1 weeks long,"[""""]"
https://www.classcentral.com/course/france-universite-numerique-mobile-robots-and-autonomous-vehicles-3459,Bayesian Methods for Machine Learning,Higher School of Economics,Coursera,Machine Learning,"""bayesian theory""","People apply Bayesian methods in many areas: from game development to drug discovery. They give superpowers to many machine learning algorithms: handling missing data, extracting much more information from small datasets. Bayesian methods also allow us to estimate uncertainty in predictions, which is a desirable feature for fields like medicine. When applied to deep learning, Bayesian methods allow you to compress your models a hundred folds, and automatically tune hyperparameters, saving your time and money.In six weeks we will discuss the basics of Bayesian methods: from how to define a probabilistic model to how to make predictions from it. We will see how one can automate this workflow and how to speed it up using some advanced techniques. We will also see applications of Bayesian methods to deep learning and how to generate new images with it. We will see how new drugs that cure severe diseases be found with Bayesian methods.",N/A,Free Online Course (Audit),Upcoming,English,"25th Mar, 2019",6 hours a week,6 weeks long,"[""Dizan Vasquez"","" Agostino Martinelli"",""Christian Laugier""]"
https://www.classcentral.com/course/edx-introduction-to-cloud-computing-3353,Introduction to Cloud Computing,IEEE,edX,Programming,"""cloud computing""","Cloud computing, or “the cloud”, has gone from a leading trend in IT to mainstream consciousness and wide adoption.This self-paced course introduces cloud computing concepts where you’ll explore the basics of cloud services and cloud deployment models.You’ll become acquainted with commonly used industry terms, typical business scenarios and applications for the cloud, and benefits and limitations inherent in the new paradigm that is the cloud.This course will help prepare you for more advanced courses in Windows Server-based cloud and datacenter administration.",N/A,Free Online Course (Audit),Finished,English,"18th Oct, 2017",2-4 hours a week,6 weeks long,"[""Phil Laplante""]"
